Income,Needs,Wants,Savings,Total_Spending,Financial_Balance,Tipe
12598000.0,7569000.0,3692000.0,2504000.0,11261000.0,1337000.0,hemat
36133000.0,23120000.0,11331000.0,8201000.0,34451000.0,1682000.0,hemat
68353000.0,44575000.0,26996000.0,9872000.0,71571000.0,-3218000.0,normal
55965000.0,41494000.0,15643000.0,13803000.0,57137000.0,-1172000.0,hemat
90133000.0,55822000.0,29193000.0,13586000.0,85015000.0,5118000.0,normal
80790000.0,43143000.0,35161000.0,9563000.0,78304000.0,2486000.0,normal
17429000.0,11340000.0,5378000.0,2102000.0,16718000.0,711000.0,normal
74879000.0,33136000.0,41143000.0,4690000.0,74279000.0,600000.0,boros
62952000.0,40413000.0,28735000.0,3984000.0,69148000.0,-6196000.0,boros
19863000.0,7380000.0,12329000.0,1406000.0,19709000.0,154000.0,boros
70281000.0,38768000.0,23889000.0,15940000.0,62657000.0,7624000.0,normal
22869000.0,11924000.0,12582000.0,1156000.0,24506000.0,-1637000.0,boros
42998000.0,26250000.0,14428000.0,5901000.0,40678000.0,2320000.0,normal
27107000.0,16859000.0,6458000.0,5811000.0,23317000.0,3790000.0,hemat
38373000.0,21340000.0,23025000.0,1654000.0,44365000.0,-5992000.0,boros
28746000.0,20162000.0,7613000.0,3823000.0,27775000.0,971000.0,normal
57677000.0,39537000.0,15841000.0,11554000.0,55378000.0,2299000.0,hemat
72977000.0,31520000.0,44549000.0,4574000.0,76069000.0,-3092000.0,boros
3483000.0,1324000.0,2222000.0,262000.0,3546000.0,-63000.0,boros
36480000.0,19674000.0,19916000.0,1964000.0,39590000.0,-3110000.0,boros
13336000.0,6178000.0,8866000.0,1204000.0,15044000.0,-1708000.0,boros
3535000.0,2326000.0,860000.0,702000.0,3186000.0,349000.0,hemat
92239000.0,43424000.0,35906000.0,19560000.0,79330000.0,12909000.0,hemat
62731000.0,35640000.0,23419000.0,8803000.0,59059000.0,3672000.0,normal
39884000.0,23151000.0,13893000.0,9543000.0,37044000.0,2840000.0,hemat
41461000.0,24637000.0,8762000.0,11056000.0,33399000.0,8062000.0,hemat
77017000.0,39948000.0,39296000.0,4939000.0,79244000.0,-2227000.0,boros
51729000.0,36015000.0,11707000.0,10350000.0,47722000.0,4007000.0,hemat
68517000.0,40479000.0,23169000.0,11452000.0,63648000.0,4869000.0,normal
85695000.0,50210000.0,22245000.0,19532000.0,72455000.0,13240000.0,hemat
80328000.0,48440000.0,19659000.0,21158000.0,68099000.0,12229000.0,hemat
10331000.0,4605000.0,5987000.0,707000.0,10592000.0,-261000.0,boros
43780000.0,21777000.0,23410000.0,4399000.0,45187000.0,-1407000.0,boros
60262000.0,29196000.0,30360000.0,4443000.0,59556000.0,706000.0,boros
42655000.0,26014000.0,15336000.0,5956000.0,41350000.0,1305000.0,normal
28787000.0,19474000.0,6382000.0,4556000.0,25856000.0,2931000.0,hemat
79782000.0,47124000.0,22110000.0,22443000.0,69234000.0,10548000.0,hemat
81838000.0,36246000.0,46674000.0,6811000.0,82920000.0,-1082000.0,boros
79284000.0,48007000.0,24969000.0,12170000.0,72976000.0,6308000.0,normal
81530000.0,51085000.0,30218000.0,12073000.0,81303000.0,227000.0,normal
68389000.0,30711000.0,38307000.0,5778000.0,69018000.0,-629000.0,boros
37652000.0,17862000.0,20263000.0,1847000.0,38125000.0,-473000.0,boros
44904000.0,27199000.0,16894000.0,7021000.0,44093000.0,811000.0,normal
75990000.0,42715000.0,24833000.0,15404000.0,67548000.0,8442000.0,hemat
81904000.0,32590000.0,48361000.0,9909000.0,80951000.0,953000.0,boros
60971000.0,40707000.0,16990000.0,9885000.0,57697000.0,3274000.0,normal
54540000.0,32251000.0,14570000.0,12331000.0,46821000.0,7719000.0,hemat
79700000.0,45970000.0,26916000.0,17267000.0,72886000.0,6814000.0,normal
64760000.0,40965000.0,18095000.0,17155000.0,59060000.0,5700000.0,hemat
85288000.0,47598000.0,26134000.0,17282000.0,73732000.0,11556000.0,hemat
80440000.0,37554000.0,46040000.0,5060000.0,83594000.0,-3154000.0,boros
31701000.0,17089000.0,13096000.0,3741000.0,30185000.0,1516000.0,normal
13835000.0,5840000.0,8141000.0,774000.0,13981000.0,-146000.0,boros
65247000.0,27908000.0,38019000.0,4925000.0,65927000.0,-680000.0,boros
84023000.0,40582000.0,44735000.0,8099000.0,85317000.0,-1294000.0,boros
80163000.0,47572000.0,30566000.0,13288000.0,78138000.0,2025000.0,normal
82530000.0,52099000.0,26996000.0,12974000.0,79095000.0,3435000.0,normal
75149000.0,36721000.0,45018000.0,5632000.0,81739000.0,-6590000.0,boros
40147000.0,22319000.0,18852000.0,3704000.0,41171000.0,-1024000.0,boros
84058000.0,56948000.0,17310000.0,19885000.0,74258000.0,9800000.0,hemat
56624000.0,26371000.0,34414000.0,3278000.0,60785000.0,-4161000.0,boros
76212000.0,38302000.0,42162000.0,3630000.0,80464000.0,-4252000.0,boros
29810000.0,17836000.0,8852000.0,4682000.0,26688000.0,3122000.0,normal
46958000.0,27931000.0,12408000.0,10586000.0,40339000.0,6619000.0,hemat
11823000.0,6083000.0,6447000.0,961000.0,12530000.0,-707000.0,boros
15374000.0,8722000.0,4976000.0,3451000.0,13698000.0,1676000.0,hemat
67505000.0,39193000.0,27864000.0,14379000.0,67057000.0,448000.0,hemat
78650000.0,43064000.0,44276000.0,7640000.0,87340000.0,-8690000.0,boros
49213000.0,31762000.0,9427000.0,12841000.0,41189000.0,8024000.0,hemat
46755000.0,27177000.0,16165000.0,6378000.0,43342000.0,3413000.0,normal
81976000.0,49270000.0,32811000.0,11729000.0,82081000.0,-105000.0,normal
77589000.0,48346000.0,24431000.0,10747000.0,72777000.0,4812000.0,normal
18124000.0,10830000.0,6983000.0,2036000.0,17813000.0,311000.0,normal
5129000.0,3231000.0,2383000.0,465000.0,5614000.0,-485000.0,boros
84195000.0,54371000.0,16724000.0,23621000.0,71095000.0,13100000.0,hemat
51315000.0,25129000.0,24742000.0,5267000.0,49871000.0,1444000.0,boros
55912000.0,31718000.0,28629000.0,5548000.0,60347000.0,-4435000.0,boros
47011000.0,23831000.0,25248000.0,5485000.0,49079000.0,-2068000.0,boros
68183000.0,35362000.0,28037000.0,11194000.0,63399000.0,4784000.0,normal
80525000.0,50880000.0,18275000.0,20204000.0,69155000.0,11370000.0,hemat
91901000.0,38246000.0,54433000.0,7284000.0,92679000.0,-778000.0,boros
35725000.0,21977000.0,10976000.0,4720000.0,32953000.0,2772000.0,normal
47178000.0,25119000.0,24722000.0,2821000.0,49841000.0,-2663000.0,boros
78805000.0,45027000.0,31161000.0,12277000.0,76188000.0,2617000.0,normal
38081000.0,18240000.0,25364000.0,1139000.0,43604000.0,-5523000.0,boros
34170000.0,22635000.0,6892000.0,7703000.0,29527000.0,4643000.0,hemat
84646000.0,46383000.0,40772000.0,9950000.0,87155000.0,-2509000.0,normal
66790000.0,41628000.0,16010000.0,16182000.0,57638000.0,9152000.0,hemat
47299000.0,23108000.0,23434000.0,5165000.0,46542000.0,757000.0,boros
71965000.0,44000000.0,23779000.0,11979000.0,67779000.0,4186000.0,normal
30822000.0,13835000.0,14737000.0,4741000.0,28572000.0,2250000.0,boros
51957000.0,34437000.0,14660000.0,10530000.0,49097000.0,2860000.0,hemat
62548000.0,42871000.0,14545000.0,14089000.0,57416000.0,5132000.0,hemat
61975000.0,33811000.0,32288000.0,6364000.0,66099000.0,-4124000.0,boros
18514000.0,12741000.0,4856000.0,3528000.0,17597000.0,917000.0,normal
89004000.0,59706000.0,21387000.0,18948000.0,81093000.0,7911000.0,hemat
62145000.0,40442000.0,21893000.0,13433000.0,62335000.0,-190000.0,normal
68689000.0,41377000.0,21143000.0,12064000.0,62520000.0,6169000.0,normal
55629000.0,27578000.0,25370000.0,5736000.0,52948000.0,2681000.0,boros
29715000.0,14753000.0,18095000.0,2506000.0,32848000.0,-3133000.0,boros
44249000.0,27308000.0,9418000.0,13371000.0,36726000.0,7523000.0,hemat
36989000.0,25205000.0,11395000.0,7596000.0,36600000.0,389000.0,hemat
11084000.0,6848000.0,4750000.0,1681000.0,11598000.0,-514000.0,normal
82398000.0,55671000.0,22965000.0,14465000.0,78636000.0,3762000.0,normal
46594000.0,26167000.0,18483000.0,7598000.0,44650000.0,1944000.0,normal
5513000.0,3423000.0,1792000.0,983000.0,5215000.0,298000.0,hemat
39833000.0,23715000.0,11124000.0,8176000.0,34839000.0,4994000.0,hemat
38179000.0,26931000.0,8503000.0,7894000.0,35434000.0,2745000.0,hemat
9739000.0,5638000.0,2912000.0,1953000.0,8550000.0,1189000.0,hemat
18467000.0,11676000.0,7071000.0,2405000.0,18747000.0,-280000.0,normal
8673000.0,4003000.0,4793000.0,873000.0,8796000.0,-123000.0,boros
14952000.0,7298000.0,8728000.0,1641000.0,16026000.0,-1074000.0,boros
11742000.0,7024000.0,3138000.0,3098000.0,10162000.0,1580000.0,hemat
81447000.0,42648000.0,34291000.0,13749000.0,76939000.0,4508000.0,normal
69105000.0,32217000.0,41541000.0,4725000.0,73758000.0,-4653000.0,boros
80352000.0,35357000.0,46798000.0,5105000.0,82155000.0,-1803000.0,boros
14349000.0,6985000.0,6482000.0,2109000.0,13467000.0,882000.0,normal
56769000.0,28899000.0,33559000.0,5321000.0,62458000.0,-5689000.0,boros
81546000.0,45755000.0,35395000.0,8996000.0,81150000.0,396000.0,boros
85530000.0,54050000.0,28481000.0,13058000.0,82531000.0,2999000.0,normal
6785000.0,4758000.0,1435000.0,1524000.0,6193000.0,592000.0,hemat
35121000.0,21736000.0,11901000.0,5551000.0,33637000.0,1484000.0,normal
33899000.0,15350000.0,17504000.0,4551000.0,32854000.0,1045000.0,boros
18013000.0,11225000.0,4288000.0,4827000.0,15513000.0,2500000.0,hemat
15681000.0,7942000.0,7976000.0,1392000.0,15918000.0,-237000.0,boros
30564000.0,16860000.0,18396000.0,3318000.0,35256000.0,-4692000.0,boros
68716000.0,42573000.0,12669000.0,16899000.0,55242000.0,13474000.0,hemat
64259000.0,35691000.0,26556000.0,11081000.0,62247000.0,2012000.0,normal
50409000.0,34992000.0,12142000.0,11517000.0,47134000.0,3275000.0,hemat
72138000.0,37658000.0,25595000.0,16408000.0,63253000.0,8885000.0,normal
64239000.0,40605000.0,22274000.0,8350000.0,62879000.0,1360000.0,normal
72793000.0,29256000.0,42222000.0,8153000.0,71478000.0,1315000.0,boros
88769000.0,56219000.0,29169000.0,11381000.0,85388000.0,3381000.0,normal
53186000.0,26078000.0,29590000.0,3287000.0,55668000.0,-2482000.0,boros
70265000.0,29555000.0,44138000.0,3345000.0,73693000.0,-3428000.0,boros
72307000.0,46742000.0,18181000.0,18831000.0,64923000.0,7384000.0,hemat
84174000.0,50919000.0,29677000.0,10819000.0,80596000.0,3578000.0,normal
51002000.0,30960000.0,13550000.0,11021000.0,44510000.0,6492000.0,hemat
82006000.0,46114000.0,33908000.0,12950000.0,80022000.0,1984000.0,normal
47611000.0,31137000.0,12888000.0,10923000.0,44025000.0,3586000.0,hemat
55883000.0,35852000.0,25949000.0,8259000.0,61801000.0,-5918000.0,normal
32647000.0,18289000.0,12314000.0,5510000.0,30603000.0,2044000.0,normal
90217000.0,53099000.0,34106000.0,11385000.0,87205000.0,3012000.0,normal
20851000.0,9077000.0,12835000.0,1278000.0,21912000.0,-1061000.0,boros
25624000.0,16026000.0,6065000.0,5224000.0,22091000.0,3533000.0,hemat
24403000.0,12552000.0,12610000.0,1526000.0,25162000.0,-759000.0,boros
36794000.0,14970000.0,23185000.0,5110000.0,38155000.0,-1361000.0,boros
65961000.0,38029000.0,31791000.0,7712000.0,69820000.0,-3859000.0,normal
90486000.0,47002000.0,46248000.0,4473000.0,93250000.0,-2764000.0,boros
53062000.0,35390000.0,15281000.0,12092000.0,50671000.0,2391000.0,hemat
54565000.0,32367000.0,13180000.0,17258000.0,45547000.0,9018000.0,hemat
50733000.0,31036000.0,11696000.0,11268000.0,42732000.0,8001000.0,hemat
78187000.0,43149000.0,36913000.0,10571000.0,80062000.0,-1875000.0,normal
32321000.0,13423000.0,18759000.0,2007000.0,32182000.0,139000.0,boros
19098000.0,11190000.0,5801000.0,3650000.0,16991000.0,2107000.0,hemat
22884000.0,13310000.0,7532000.0,3547000.0,20842000.0,2042000.0,normal
77720000.0,50269000.0,16895000.0,19150000.0,67164000.0,10556000.0,hemat
16117000.0,10777000.0,3858000.0,3988000.0,14635000.0,1482000.0,hemat
46801000.0,30793000.0,12457000.0,7984000.0,43250000.0,3551000.0,hemat
30823000.0,15518000.0,16327000.0,1774000.0,31845000.0,-1022000.0,boros
17963000.0,9937000.0,7648000.0,2296000.0,17585000.0,378000.0,normal
53840000.0,33736000.0,12213000.0,11940000.0,45949000.0,7891000.0,hemat
72803000.0,29930000.0,51541000.0,4174000.0,81471000.0,-8668000.0,boros
30784000.0,11413000.0,20406000.0,1457000.0,31819000.0,-1035000.0,boros
12153000.0,6583000.0,5099000.0,2087000.0,11682000.0,471000.0,normal
54301000.0,38701000.0,13612000.0,10856000.0,52313000.0,1988000.0,hemat
65321000.0,42601000.0,16139000.0,16028000.0,58740000.0,6581000.0,hemat
52278000.0,32080000.0,18261000.0,6463000.0,50341000.0,1937000.0,normal
12180000.0,4804000.0,7896000.0,775000.0,12700000.0,-520000.0,boros
2069000.0,1309000.0,761000.0,382000.0,2070000.0,-1000.0,normal
9342000.0,5901000.0,2347000.0,2208000.0,8248000.0,1094000.0,hemat
83067000.0,42094000.0,43999000.0,6114000.0,86093000.0,-3026000.0,boros
52035000.0,30522000.0,22659000.0,5852000.0,53181000.0,-1146000.0,normal
37079000.0,20537000.0,8729000.0,9241000.0,29266000.0,7813000.0,hemat
17681000.0,10775000.0,4890000.0,4095000.0,15665000.0,2016000.0,hemat
57438000.0,48010000.0,12381000.0,10078000.0,60391000.0,-2953000.0,hemat
71120000.0,45150000.0,18454000.0,13511000.0,63604000.0,7516000.0,hemat
73282000.0,51981000.0,19690000.0,9692000.0,71671000.0,1611000.0,normal
3396000.0,1595000.0,1998000.0,201000.0,3593000.0,-197000.0,boros
67643000.0,46134000.0,20521000.0,10934000.0,66655000.0,988000.0,hemat
16351000.0,9494000.0,3193000.0,4844000.0,12687000.0,3664000.0,hemat
73219000.0,48618000.0,15595000.0,16149000.0,64213000.0,9006000.0,hemat
15586000.0,9290000.0,3891000.0,3593000.0,13181000.0,2405000.0,hemat
22285000.0,17458000.0,5073000.0,3392000.0,22531000.0,-246000.0,normal
70456000.0,47125000.0,20744000.0,10317000.0,67869000.0,2587000.0,normal
58195000.0,31669000.0,20999000.0,10863000.0,52668000.0,5527000.0,hemat
4921000.0,3319000.0,1627000.0,471000.0,4946000.0,-25000.0,normal
16228000.0,10152000.0,4278000.0,3849000.0,14430000.0,1798000.0,hemat
21367000.0,11832000.0,7987000.0,4875000.0,19819000.0,1548000.0,hemat
76090000.0,48142000.0,23563000.0,13410000.0,71705000.0,4385000.0,hemat
56390000.0,34990000.0,18502000.0,8843000.0,53492000.0,2898000.0,normal
18760000.0,11212000.0,5742000.0,3149000.0,16954000.0,1806000.0,normal
25383000.0,9398000.0,16496000.0,1128000.0,25894000.0,-511000.0,boros
42458000.0,30605000.0,11046000.0,5006000.0,41651000.0,807000.0,normal
8850000.0,3935000.0,5609000.0,705000.0,9544000.0,-694000.0,boros
38522000.0,21743000.0,15272000.0,5633000.0,37015000.0,1507000.0,normal
74799000.0,40842000.0,26962000.0,11879000.0,67804000.0,6995000.0,normal
35939000.0,18716000.0,19881000.0,2212000.0,38597000.0,-2658000.0,boros
74619000.0,37853000.0,27902000.0,13214000.0,65755000.0,8864000.0,normal
56336000.0,27404000.0,30089000.0,5586000.0,57493000.0,-1157000.0,boros
39084000.0,19367000.0,18899000.0,3473000.0,38266000.0,818000.0,boros
82478000.0,44518000.0,21999000.0,23030000.0,66517000.0,15961000.0,hemat
40996000.0,23889000.0,13370000.0,8191000.0,37259000.0,3737000.0,normal
63784000.0,29219000.0,39897000.0,4772000.0,69116000.0,-5332000.0,boros
76404000.0,42520000.0,25343000.0,12315000.0,67863000.0,8541000.0,normal
78998000.0,57640000.0,15056000.0,18754000.0,72696000.0,6302000.0,hemat
27216000.0,12489000.0,14615000.0,2127000.0,27104000.0,112000.0,boros
18308000.0,12427000.0,5539000.0,3735000.0,17966000.0,342000.0,normal
41936000.0,22346000.0,19853000.0,3495000.0,42199000.0,-263000.0,boros
76326000.0,35686000.0,44541000.0,7543000.0,80227000.0,-3901000.0,boros
28884000.0,19598000.0,9932000.0,4978000.0,29530000.0,-646000.0,normal
25946000.0,17329000.0,8572000.0,2754000.0,25901000.0,45000.0,normal
5186000.0,3224000.0,1598000.0,711000.0,4822000.0,364000.0,normal
65270000.0,41531000.0,12650000.0,16238000.0,54181000.0,11089000.0,hemat
63649000.0,42236000.0,11238000.0,17401000.0,53474000.0,10175000.0,hemat
75410000.0,51598000.0,21667000.0,9987000.0,73265000.0,2145000.0,normal
42972000.0,21504000.0,24639000.0,4336000.0,46143000.0,-3171000.0,boros
76913000.0,47816000.0,27385000.0,14657000.0,75201000.0,1712000.0,hemat
8872000.0,4028000.0,5620000.0,748000.0,9648000.0,-776000.0,boros
49705000.0,28395000.0,20592000.0,8103000.0,48987000.0,718000.0,normal
43119000.0,19012000.0,25038000.0,4887000.0,44050000.0,-931000.0,boros
80242000.0,38002000.0,49839000.0,2153000.0,87841000.0,-7599000.0,boros
81522000.0,55065000.0,19344000.0,16961000.0,74409000.0,7113000.0,hemat
87941000.0,57192000.0,16994000.0,23520000.0,74186000.0,13755000.0,hemat
31810000.0,20835000.0,8949000.0,6590000.0,29784000.0,2026000.0,hemat
35709000.0,17580000.0,16151000.0,5425000.0,33731000.0,1978000.0,normal
19676000.0,8860000.0,10716000.0,1401000.0,19576000.0,100000.0,boros
65511000.0,31026000.0,39005000.0,5088000.0,70031000.0,-4520000.0,boros
74858000.0,36216000.0,41122000.0,6011000.0,77338000.0,-2480000.0,boros
80711000.0,43624000.0,34809000.0,7499000.0,78433000.0,2278000.0,normal
89580000.0,56491000.0,26937000.0,15145000.0,83428000.0,6152000.0,hemat
46258000.0,35158000.0,16272000.0,6273000.0,51430000.0,-5172000.0,normal
20942000.0,10577000.0,10794000.0,1464000.0,21371000.0,-429000.0,boros
52507000.0,34763000.0,13782000.0,12374000.0,48545000.0,3962000.0,hemat
34750000.0,23550000.0,6400000.0,7751000.0,29950000.0,4800000.0,hemat
31560000.0,18159000.0,11512000.0,5039000.0,29671000.0,1889000.0,normal
64603000.0,34608000.0,27714000.0,8541000.0,62322000.0,2281000.0,normal
19617000.0,12198000.0,5634000.0,4014000.0,17832000.0,1785000.0,normal
49786000.0,27745000.0,24515000.0,3517000.0,52260000.0,-2474000.0,boros
14079000.0,8044000.0,4710000.0,3080000.0,12754000.0,1325000.0,normal
77835000.0,54280000.0,19954000.0,15187000.0,74234000.0,3601000.0,hemat
9496000.0,3880000.0,6119000.0,654000.0,9999000.0,-503000.0,boros
81983000.0,41486000.0,43505000.0,8298000.0,84991000.0,-3008000.0,boros
92216000.0,46635000.0,48366000.0,4971000.0,95001000.0,-2785000.0,boros
21911000.0,11201000.0,12192000.0,1807000.0,23393000.0,-1482000.0,boros
10198000.0,6962000.0,2304000.0,1779000.0,9266000.0,932000.0,hemat
4835000.0,3090000.0,1013000.0,1013000.0,4103000.0,732000.0,hemat
14581000.0,7847000.0,6237000.0,2119000.0,14084000.0,497000.0,normal
83135000.0,43106000.0,43925000.0,4775000.0,87031000.0,-3896000.0,boros
65412000.0,42041000.0,19898000.0,11584000.0,61939000.0,3473000.0,normal
10261000.0,5680000.0,3997000.0,1401000.0,9677000.0,584000.0,normal
85149000.0,44622000.0,46304000.0,5483000.0,90926000.0,-5777000.0,boros
63231000.0,40009000.0,16130000.0,10138000.0,56139000.0,7092000.0,normal
85490000.0,48605000.0,30993000.0,13595000.0,79598000.0,5892000.0,normal
64055000.0,40830000.0,21118000.0,10073000.0,61948000.0,2107000.0,normal
36420000.0,22102000.0,11812000.0,5287000.0,33914000.0,2506000.0,normal
7453000.0,3389000.0,4394000.0,773000.0,7783000.0,-330000.0,boros
3194000.0,2059000.0,1073000.0,485000.0,3132000.0,62000.0,normal
54348000.0,32284000.0,21027000.0,8271000.0,53311000.0,1037000.0,normal
45805000.0,29481000.0,16298000.0,5389000.0,45779000.0,26000.0,normal
52424000.0,31373000.0,11746000.0,15614000.0,43119000.0,9305000.0,hemat
86471000.0,55726000.0,33221000.0,8059000.0,88947000.0,-2476000.0,normal
83541000.0,41434000.0,44085000.0,4544000.0,85519000.0,-1978000.0,boros
